Mon Sep 30 8:05:06 AM 2024 , methods  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , mgcv  , 1.9-1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , nlme  , 3.1-164  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , nnet  , 7.3-19  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , parallel  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , rpart  , 4.1.23  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , spatial  , 7.3-17  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , splines  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , stats  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , stats4  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , survival  , 3.6-4  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , tcltk  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , tools  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:05:06 AM 2024 , utils  , 4.4.1  , C:/Users/krodberg/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.4/x86_64-w64-mingw32/e0da0d43
Mon Sep 30 8:41:32 AM 2024 , anytime  , 0.3.9  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:41:32 AM 2024 , backports  , 1.5.0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:41:32 AM 2024 , base64enc  , 0.1-3  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:41:32 AM 2024 , BH  , 1.75.0-0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:41:32 AM 2024 , boot  , 1.3-31  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:41:32 AM 2024 , bslib  , 0.8.0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:41:32 AM 2024 , cachem  , 1.1.0  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:41:32 AM 2024 , callr  , 3.7.6  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:41:32 AM 2024 , cli  , 3.6.3  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:41:32 AM 2024 , codetools  , 0.2-20  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:41:32 AM 2024 , commonmark  , 1.9.1  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:41:32 AM 2024 , crayon  , 1.5.3  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:41:32 AM 2024 , crosstalk  , 1.2.1  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
Mon Sep 30 8:41:32 AM 2024 , cyclocomp  , 1.1.1  , \\ad.sfwmd.gov/dfsroot/data/wsd/SUP/devel/source/GitRepos/R/CodeDocsConnect/renv/library/windows/R-4.4/x86_64-w64-mingw32
